PID,trial_no,trial_type,choice,delay,age,gender
554,67,win,0,1,25,male
554,68,win,1,40,25,male
554,69,win,0,20,25,male
554,70,win,1,1,25,male
554,71,win,1,10,25,male
554,72,win,0,1,25,male
554,73,win,1,5,25,male
554,74,win,0,1,25,male
554,75,win,1,40,25,male
554,76,win,1,20,25,male
554,77,win,0,5,25,male
554,78,win,0,1,25,male
554,79,win,1,2,25,male
554,80,win,1,2,25,male
554,81,win,0,5,25,male
554,82,win,0,1,25,male
554,83,win,1,20,25,male
554,84,win,0,2,25,male
554,85,win,1,20,25,male
554,86,win,0,10,25,male
554,87,win,1,2,25,male
554,88,win,0,2,25,male
554,89,win,1,5,25,male
554,90,win,1,10,25,male
554,91,win,0,10,25,male
554,92,win,0,5,25,male
554,93,win,0,1,25,male
554,94,win,0,2,25,male
554,95,win,1,1,25,male
554,96,win,1,10,25,male
554,97,win,1,20,25,male
554,98,win,1,80,25,male
554,99,win,1,10,25,male
554,100,win,1,20,25,male
554,101,win,0,80,25,male
554,102,win,1,1,25,male
554,103,win,1,2,25,male
554,104,win,1,80,25,male
554,105,win,0,5,25,male
554,106,win,1,20,25,male
554,107,win,0,10,25,male
554,108,win,1,10,25,male
554,109,win,0,20,25,male
554,110,win,1,40,25,male
554,111,win,0,5,25,male
554,112,win,0,5,25,male
554,113,win,0,40,25,male
554,114,win,1,80,25,male
554,115,win,1,10,25,male
554,116,win,0,2,25,male
554,117,win,1,40,25,male
554,118,win,1,20,25,male
554,119,win,1,80,25,male
554,120,win,1,2,25,male
554,121,win,0,5,25,male
554,122,win,1,20,25,male
554,123,win,0,1,25,male
554,124,win,0,2,25,male
554,125,win,1,5,25,male
554,126,win,1,10,25,male
3731,68,win,1,1,22,male
3731,84,win,0,1,22,male
3731,85,win,1,1,22,male
3731,96,win,1,1,22,male
3731,97,win,1,1,22,male
3731,103,win,1,1,22,male
3731,114,win,1,1,22,male
3731,115,win,1,1,22,male
3731,117,win,1,1,22,male
3731,120,win,1,1,22,male
3731,71,win,1,2,22,male
3731,76,win,0,2,22,male
3731,79,win,1,2,22,male
3731,80,win,0,2,22,male
3731,98,win,1,2,22,male
3731,100,win,1,2,22,male
3731,101,win,1,2,22,male
3731,116,win,1,2,22,male
3731,119,win,1,2,22,male
3731,122,win,1,2,22,male
3731,70,win,1,5,22,male
3731,72,win,1,5,22,male
